band,gage,lag,agg,corr
et,11208000,17,max,-0.7454622312646628
et,11266500,17,mu,-0.44869564597356276
et,11266500,17,min,
et,11266500,17,max,-0.4653703166771215
et,11318500,17,mu,-0.17416449524249722
et,11318500,17,min,-0.056314843200525884
et,11318500,17,max,-0.1862452922223716
et,11402000,17,mu,-0.10723433493952608
et,11402000,17,min,
et,11402000,17,max,-0.07416824873198677
et,11185500,18,mu,-0.5278170549486374
et,11185500,18,min,
et,11185500,18,max,-0.5237120040111246
et,11189500,18,mu,-0.12846474067769856
et,11189500,18,min,
et,11189500,18,max,-0.07106451133618955
et,11202710,18,mu,-0.12352734204005733
et,11202710,18,min,-0.045829930561555605
et,11202710,18,max,-0.08157135354567922
et,11208000,18,mu,-0.6931438143314889
et,11208000,18,min,
et,11208000,18,max,-0.7059038742205602
et,11266500,18,mu,-0.40984386270706236
et,11266500,18,min,
et,11266500,18,max,-0.46931487861344545
et,11318500,18,mu,-0.13973955068025334
et,11318500,18,min,-0.06142110436161763
et,11318500,18,max,-0.14143861228825427
et,11402000,18,mu,-0.08262917682442537
et,11402000,18,min,
et,11402000,18,max,-0.03256359388021852
et,11185500,19,mu,-0.4950098395735993
et,11185500,19,min,
et,11185500,19,max,-0.5063972238880434
et,11189500,19,mu,-0.10985356999014428
et,11189500,19,min,
et,11189500,19,max,-0.03826958611164088
et,11202710,19,mu,-0.09853063071720183
et,11202710,19,min,-0.04330056986621751
et,11202710,19,max,-0.045912356050968786
et,11208000,19,mu,-0.6353278975136404
et,11208000,19,min,
et,11208000,19,max,-0.6531276103094725
et,11266500,19,mu,-0.3764819457905171
et,11266500,19,min,
et,11266500,19,max,-0.43972048647196293
et,11318500,19,mu,-0.07289406205701979
et,11318500,19,min,-0.04953569505542113
et,11318500,19,max,-0.07396848718877641
et,11402000,19,mu,-0.003092170215110873
et,11402000,19,min,
et,11402000,19,max,0.026475570159497003
et,11185500,20,mu,-0.454423004613047
et,11185500,20,min,
et,11185500,20,max,-0.4665882059124317
et,11189500,20,mu,-0.0622098954310309
et,11189500,20,min,
et,11189500,20,max,-0.02571791022036755
et,11202710,20,mu,-0.10849851156022759
et,11202710,20,min,-0.03894268720521808
et,11202710,20,max,-0.024455562873781096
et,11208000,20,mu,-0.5758341706003977
et,11208000,20,min,
et,11208000,20,max,-0.5856836907087672
et,11266500,20,mu,-0.32344940844726694
et,11266500,20,min,
et,11266500,20,max,-0.42561486353554073
et,11318500,20,mu,-0.025016992516982358
et,11318500,20,min,-0.02414428715134065
et,11318500,20,max,-0.017061147642162388
et,11402000,20,mu,0.06329939774926423
et,11402000,20,min,
et,11402000,20,max,0.07261000722491132
et,11185500,21,mu,-0.4168198768106904
et,11185500,21,min,
et,11185500,21,max,-0.42994813900057655
et,11189500,21,mu,-0.03193742261863953
et,11189500,21,min,
et,11189500,21,max,0.010361477150454178
et,11202710,21,mu,-0.05023200323338421
et,11202710,21,min,-0.02720370909230733
et,11202710,21,max,0.030510455621909842
et,11208000,21,mu,-0.5197633260592375
et,11208000,21,min,
et,11208000,21,max,-0.513653470404881
et,11266500,21,mu,-0.29582991172865986
et,11266500,21,min,
et,11266500,21,max,-0.4022921704625858
et,11318500,21,mu,0.0478641640672036
et,11318500,21,min,0.003434758049494777
et,11318500,21,max,0.054023143509954755
et,11402000,21,mu,0.11503974341164015
et,11402000,21,min,
et,11402000,21,max,0.08451737916929888
et,11185500,22,mu,-0.35444447219601627
et,11185500,22,min,
et,11185500,22,max,-0.3791066749423782
et,11189500,22,mu,0.012598262493833657
et,11189500,22,min,
et,11189500,22,max,0.007260324537232823
et,11202710,22,mu,0.010201226497887577
et,11202710,22,min,-0.030203396783928218
et,11202710,22,max,0.03692591656929454
et,11208000,22,mu,-0.4393800190389212
et,11208000,22,min,
et,11208000,22,max,-0.4292510078625956
et,11266500,22,mu,-0.2366968411173804
et,11266500,22,min,
et,11266500,22,max,-0.3604663549891055
et,11318500,22,mu,0.10248979780239718
et,11318500,22,min,0.1861653078708351
et,11318500,22,max,0.10560016838835529
et,11402000,22,mu,0.18381138441131872
et,11402000,22,min,
et,11402000,22,max,0.13563520939768944
et,11185500,23,mu,-0.28620172307399505
et,11185500,23,min,
et,11185500,23,max,-0.3150878033344515
et,11189500,23,mu,0.036182727644613465
et,11189500,23,min,
et,11189500,23,max,-0.008333792162361665
et,11202710,23,mu,0.08944166228195279
et,11202710,23,min,-0.024537882343969884
et,11202710,23,max,0.02849574051564073
et,11208000,23,mu,-0.3458522361879326
et,11208000,23,min,
et,11208000,23,max,-0.3419352115527689
et,11266500,23,mu,-0.19927511762109604
et,11266500,23,min,
et,11266500,23,max,-0.30971397337510637
et,11318500,23,mu,0.1315731180361249
et,11318500,23,min,0.015980704174670728
et,11318500,23,max,0.12167896452986499
et,11402000,23,mu,0.20302214212029618
et,11402000,23,min,
et,11402000,23,max,0.14486196366497125
et,11185500,24,mu,-0.20882200872084714
et,11185500,24,min,
et,11185500,24,max,-0.23221395641108628
et,11189500,24,mu,0.061898120433804917
et,11189500,24,min,
et,11189500,24,max,0.00880113902325507
et,11202710,24,mu,0.07189453100832438
et,11202710,24,min,-0.03130195094699944
et,11202710,24,max,0.09501853625487311
et,11208000,24,mu,-0.27653781570433544
et,11208000,24,min,
et,11208000,24,max,-0.25150682671655955
et,11266500,24,mu,-0.1320034643787203
et,11266500,24,min,
et,11266500,24,max,-0.2516983307894931
et,11318500,24,mu,0.17217671921010497
et,11318500,24,min,-0.002578725140897733
et,11318500,24,max,0.1615294546757297
et,11402000,24,mu,0.21452028568016115
et,11402000,24,min,
et,11402000,24,max,0.18333570328817517
et,11185500,25,mu,-0.14044281685755744
et,11185500,25,min,
et,11185500,25,max,-0.1541218891719603
et,11189500,25,mu,0.11568827519161808
et,11189500,25,min,
et,11189500,25,max,0.05094595557648779
et,11202710,25,mu,0.13704731417621244
et,11202710,25,min,-0.02310437416415251
et,11202710,25,max,0.06907887876743783
et,11208000,25,mu,-0.17793437231322623
et,11208000,25,min,
et,11208000,25,max,-0.1342463883950005
et,11266500,25,mu,-0.07185846765169349
et,11266500,25,min,
et,11266500,25,max,-0.17681445937817894
et,11318500,25,mu,0.230313025487656
et,11318500,25,min,0.12187618250521635
et,11318500,25,max,0.2194267711336939
et,11402000,25,mu,0.26074140352461633
et,11402000,25,min,
et,11402000,25,max,0.21856013003070437
et,11185500,26,mu,-0.0568155023911493
et,11185500,26,min,
et,11185500,26,max,-0.07288969566500955
et,11189500,26,mu,0.13584737802577437
et,11189500,26,min,
et,11189500,26,max,0.028995102945302366
et,11202710,26,mu,0.06954423860768476
et,11202710,26,min,-0.02324215950917533
et,11202710,26,max,0.05150090120232609
et,11208000,26,mu,-0.07077602121979461
et,11208000,26,min,
et,11208000,26,max,-0.01852288263250339
et,11266500,26,mu,-0.015320205135701235
et,11266500,26,min,
et,11266500,26,max,-0.115495761644631
et,11318500,26,mu,0.1836955795966116
et,11318500,26,min,-0.006978165494218019
et,11318500,26,max,0.23024596275053413
et,11402000,26,mu,0.1908971358248312
et,11402000,26,min,
et,11402000,26,max,0.2221799924763922
et,11185500,27,mu,0.016266350237605556
et,11185500,27,min,
et,11185500,27,max,0.00709781659831038
et,11189500,27,mu,0.14739778342528323
et,11189500,27,min,
et,11189500,27,max,0.05581310334466222
et,11202710,27,mu,0.009821701076748388
et,11202710,27,min,-0.02227576744462995
et,11202710,27,max,0.036159488630865766
et,11208000,27,mu,0.03978262899221174
et,11208000,27,min,
et,11208000,27,max,0.09678785428006341
et,11266500,27,mu,0.034942375694296784
et,11266500,27,min,
et,11266500,27,max,-0.042991721051364694
et,11318500,27,mu,0.16719270728292734
et,11318500,27,min,0.02273756250820458
et,11318500,27,max,0.20568595566546571
et,11402000,27,mu,0.2038251795699307
et,11402000,27,min,
et,11402000,27,max,0.24375610730451797
et,11185500,28,mu,0.0989798596666566
et,11185500,28,min,
et,11185500,28,max,0.09304068574900926
et,11189500,28,mu,0.13686744795899566
et,11189500,28,min,
et,11189500,28,max,0.08046695004495215
et,11202710,28,mu,0.06820514918643593
et,11202710,28,min,-0.030350989925339477
et,11202710,28,max,0.07857257452619328
et,11208000,28,mu,0.1316959984894637
et,11208000,28,min,
et,11208000,28,max,0.20596094573278118
et,11266500,28,mu,0.1086108869898344
et,11266500,28,min,
et,11266500,28,max,0.03199037637324515
et,11318500,28,mu,0.2257360952793519
et,11318500,28,min,0.14960205108743507
et,11318500,28,max,0.26605369030980436
et,11402000,28,mu,0.24073782238273733
et,11402000,28,min,
et,11402000,28,max,0.25472788155501064
et,11185500,29,mu,0.1691885495143225
et,11185500,29,min,
et,11185500,29,max,0.1764654093450413
et,11189500,29,mu,0.07879322632127655
et,11189500,29,min,
et,11189500,29,max,0.13567021342292415
et,11202710,29,mu,0.08216534786335877
et,11202710,29,min,-0.0225412264974274
et,11202710,29,max,0.11728398638183482
et,11208000,29,mu,0.23743840962643178
et,11208000,29,min,
et,11208000,29,max,0.32034372017110435
et,11266500,29,mu,0.15094793021705516
et,11266500,29,min,
et,11266500,29,max,0.1093165225008688
et,11318500,29,mu,0.2441607497009086
et,11318500,29,min,-0.01633730276072308
et,11318500,29,max,0.264624093181325
et,11402000,29,mu,0.21889615308880553
et,11402000,29,min,
et,11402000,29,max,0.26364804330009317
et,11185500,30,mu,0.2416231644933991
et,11185500,30,min,
et,11185500,30,max,0.2531123136004604
et,11189500,30,mu,0.13875716190970358
et,11189500,30,min,
et,11189500,30,max,0.14221597295472216
et,11202710,30,mu,0.04416488814278627
et,11202710,30,min,-0.027111590564702425
et,11202710,30,max,0.09198065069598417
et,11208000,30,mu,0.3634287696811677
et,11208000,30,min,
et,11208000,30,max,0.4268003246500555
et,11266500,30,mu,0.19910035672650775
et,11266500,30,min,
et,11266500,30,max,0.18490875310486973
et,11318500,30,mu,0.24899323745407065
et,11318500,30,min,0.002121848903823384
et,11318500,30,max,0.27072889887090273
et,11402000,30,mu,0.26099192620491374
et,11402000,30,min,
et,11402000,30,max,0.2854134631862657
et,11185500,31,mu,0.28776586051430175
et,11185500,31,min,
et,11185500,31,max,0.31671038321909867
et,11189500,31,mu,0.14147514228968303
et,11189500,31,min,
et,11189500,31,max,0.1830159573968578
et,11202710,31,mu,0.06807769497336147
et,11202710,31,min,-0.029248919797266855
et,11202710,31,max,0.10599341037385349
et,11208000,31,mu,0.448486957699457
et,11208000,31,min,
et,11208000,31,max,0.5163488778732751
et,11266500,31,mu,0.26267754202099136
et,11266500,31,min,
et,11266500,31,max,0.2604908076679797
et,11318500,31,mu,0.25808948532253545
et,11318500,31,min,0.01846305847404571
et,11318500,31,max,0.28165800073159053
et,11402000,31,mu,0.26922451733979735
et,11402000,31,min,
et,11402000,31,max,0.28507848737276537
et,11185500,32,mu,0.36327236284839687
et,11185500,32,min,
et,11185500,32,max,0.38528063009426633
et,11189500,32,mu,0.14235034303834834
et,11189500,32,min,
et,11189500,32,max,0.18507066799981145
et,11202710,32,mu,0.06382072733382253
et,11202710,32,min,-0.029708913422680224
et,11202710,32,max,0.1521865077700306
et,11208000,32,mu,0.5458038452057627
et,11208000,32,min,
et,11208000,32,max,0.597628409015434
et,11266500,32,mu,0.2881372402109633
et,11266500,32,min,
et,11266500,32,max,0.3188930745244787
et,11318500,32,mu,0.2663121636753559
et,11318500,32,min,0.014168937900141957
et,11318500,32,max,0.2776576942935065
et,11402000,32,mu,0.21050227734538066
et,11402000,32,min,
et,11402000,32,max,0.2757326100365212
et,11185500,33,mu,0.3968832116787901
et,11185500,33,min,
et,11185500,33,max,0.43290920564715707
et,11189500,33,mu,0.14282028473400174
et,11189500,33,min,
et,11189500,33,max,0.23301333190099457
et,11202710,33,mu,-0.0002932857736059621
et,11202710,33,min,-0.02918091206988222
et,11202710,33,max,0.11109882745225047
et,11208000,33,mu,0.6264358709495645
et,11208000,33,min,
et,11208000,33,max,0.6698227108366012
et,11266500,33,mu,0.3170440304554217
et,11266500,33,min,
et,11266500,33,max,0.3818180872439544
et,11318500,33,mu,0.22324497059170761
et,11318500,33,min,0.029945953262034003
et,11318500,33,max,0.25461055575273933
et,11402000,33,mu,0.15651395951079133
et,11402000,33,min,
et,11402000,33,max,0.26620069975383653
et,11185500,34,mu,0.4337102978760067
et,11185500,34,min,
et,11185500,34,max,0.48625046733732796
et,11189500,34,mu,0.11022286180141054
et,11189500,34,min,
et,11189500,34,max,0.22468487317293806
et,11202710,34,mu,0.062124059524996667
et,11202710,34,min,-0.028716764748488888
et,11202710,34,max,0.14029478410940843
et,11208000,34,mu,0.6839190499135045
et,11208000,34,min,
et,11208000,34,max,0.7395379113450384
et,11266500,34,mu,0.35680787578503526
et,11266500,34,min,
et,11266500,34,max,0.430063802133573
et,11318500,34,mu,0.29725700493786006
et,11318500,34,min,0.036725271600786355
et,11318500,34,max,0.281288442205927
et,11402000,34,mu,0.2522026461687434
et,11402000,34,min,
et,11402000,34,max,0.2911439032382631
et,11185500,35,mu,0.45766127352857994
et,11185500,35,min,
et,11185500,35,max,0.5230412397459094
et,11189500,35,mu,0.1061196751450312
et,11189500,35,min,
et,11189500,35,max,0.24324758960553078
et,11202710,35,mu,0.06990296098372294
et,11202710,35,min,-0.028948341403653297
et,11202710,35,max,0.1648940006458902
et,11208000,35,mu,0.7324639119831708
et,11208000,35,min,
et,11208000,35,max,0.7864888381477505
et,11266500,35,mu,0.37238182215934956
et,11266500,35,min,
et,11266500,35,max,0.4745073070970663
et,11318500,35,mu,0.2814968543974124
et,11318500,35,min,0.011656947302258136
et,11318500,35,max,0.2834650984432932
et,11402000,35,mu,0.23791664090435577
et,11402000,35,min,
et,11402000,35,max,0.2752969208054738
et,11185500,36,mu,0.49641624303882304
et,11185500,36,min,
et,11185500,36,max,0.5505904815750745
et,11189500,36,mu,0.16965777099957263
et,11189500,36,min,
et,11189500,36,max,0.2610844534065197
et,11202710,36,mu,0.0860699951116377
et,11202710,36,min,-0.0291693078930142
et,11202710,36,max,0.15388932601263866
et,11208000,36,mu,0.7473569347905491
et,11208000,36,min,
et,11208000,36,max,0.8088359126463421
et,11266500,36,mu,0.41776456545463597
et,11266500,36,min,
et,11266500,36,max,0.5173786264308489
et,11318500,36,mu,0.2840129981093399
et,11318500,36,min,0.048979495088396274
et,11318500,36,max,0.2706249238376907
et,11402000,36,mu,0.22096557513983842
et,11402000,36,min,
et,11402000,36,max,0.21783829747897515
et,11185500,37,mu,0.5217705228495176
et,11185500,37,min,
et,11185500,37,max,0.5670438583721122
et,11189500,37,mu,0.15578025727451575
